country,total_earnings,players,game
Bulgaria,"$68,455.29 ",5,FIFA 19
Poland,"$53,306.67 ",14,FIFA 19
Ireland,"$53,076.67 ",2,FIFA 19
Belgium,"$52,308.64 ",3,FIFA 19
Canada,"$43,636.67 ",8,FIFA 19
Italy,"$30,468.64 ",7,FIFA 19
Malta,"$28,077.34 ",10,FIFA 19
Australia,"$17,408.64 ",8,FIFA 19
Sweden,"$15,528.94 ",3,FIFA 19
Russian Federation,"$15,054.54 ",5,FIFA 19
Japan,"$11,768.64 ",7,FIFA 19
Israel,"$11,461.36 ",1,FIFA 19
Colombia,"$10,750.00 ",4,FIFA 19
Austria,"$7,177.81 ",6,FIFA 19
Turkey,"$7,000.00 ",4,FIFA 19
Ghana,"$2,808.76 ",5,FIFA 19
"Korea, Republic of","$2,500.00 ",5,FIFA 19
Finland,"$1,658.64 ",3,FIFA 19
China,"$1,300.00 ",3,FIFA 19
Norway,"$1,300.00 ",3,FIFA 19
Hong Kong,"$1,265.00 ",1,FIFA 19
New Zealand,"$1,105.00 ",3,FIFA 19
Thailand,"$1,000.00 ",2,FIFA 19
Czech Republic,$565.00 ,1,FIFA 19
Malaysia,$500.00 ,1,FIFA 19
Ukraine,$500.00 ,1,FIFA 19
South Africa,$400.00 ,1,FIFA 19
United States,"$748,374.21 ",258,Counter-Strike: Source
United Kingdom,"$565,369.74 ",194,Counter-Strike: Source
Canada,"$323,851.53 ",43,Counter-Strike: Source
France,"$308,732.88 ",227,Counter-Strike: Source
Germany,"$248,201.04 ",179,Counter-Strike: Source
Denmark,"$153,440.39 ",97,Counter-Strike: Source
Sweden,"$138,113.17 ",53,Counter-Strike: Source
Finland,"$85,826.83 ",99,Counter-Strike: Source
Netherlands,"$79,681.61 ",37,Counter-Strike: Source
Russian Federation,"$57,499.81 ",56,Counter-Strike: Source
Belgium,"$45,590.25 ",32,Counter-Strike: Source
Czech Republic,"$37,191.94 ",13,Counter-Strike: Source
Mexico,"$30,000.00 ",8,Counter-Strike: Source
Singapore,"$30,000.00 ",5,Counter-Strike: Source
Slovakia,"$29,981.14 ",5,Counter-Strike: Source
Norway,"$27,612.07 ",35,Counter-Strike: Source
Kazakhstan,"$25,000.00 ",5,Counter-Strike: Source
Australia,"$22,500.00 ",6,Counter-Strike: Source
Austria,"$20,378.12 ",26,Counter-Strike: Source
Spain,"$19,553.48 ",11,Counter-Strike: Source
Switzerland,"$11,483.91 ",16,Counter-Strike: Source
Brazil,"$7,500.00 ",5,Counter-Strike: Source
"Korea, Republic of","$7,500.00 ",5,Counter-Strike: Source
Poland,"$7,411.95 ",7,Counter-Strike: Source
Hungary,"$6,718.45 ",20,Counter-Strike: Source
Italy,"$5,606.85 ",21,Counter-Strike: Source
Turkey,"$4,763.14 ",1,Counter-Strike: Source
Portugal,"$3,906.21 ",21,Counter-Strike: Source
Romania,"$3,565.20 ",5,Counter-Strike: Source
Ireland,"$3,268.05 ",7,Counter-Strike: Source
Bulgaria,"$2,627.18 ",1,Counter-Strike: Source
Belarus,$816.24 ,1,Counter-Strike: Source
South Africa,$477.15 ,1,Counter-Strike: Source
India,$354.15 ,1,Counter-Strike: Source
Morocco,$83.25 ,1,Counter-Strike: Source
United States,"$2,081,425.00 ",73,Gears of War 4
Philippines,"$224,550.00 ",1,Gears of War 4
Mexico,"$195,200.00 ",17,Gears of War 4
United Kingdom,"$143,000.00 ",12,Gears of War 4
Puerto Rico,"$101,500.00 ",2,Gears of War 4
Canada,"$31,600.00 ",8,Gears of War 4
France,"$17,600.00 ",7,Gears of War 4
Australia,"$4,610.00 ",8,Gears of War 4
Spain,"$4,400.00 ",6,Gears of War 4
New Zealand,$500.00 ,1,Gears of War 4
China,"$741,944.68 ",25,Call of Duty: Mobile
Philippines,"$360,166.69 ",18,Call of Duty: Mobile
Mexico,"$212,000.02 ",10,Call of Duty: Mobile
Japan,"$164,999.98 ",11,Call of Duty: Mobile
India,"$160,000.08 ",24,Call of Duty: Mobile
United States,"$157,666.68 ",14,Call of Duty: Mobile
Singapore,"$147,750.00 ",5,Call of Duty: Mobile
Brazil,"$120,000.00 ",15,Call of Duty: Mobile
United Kingdom,"$94,666.67 ",6,Call of Duty: Mobile
France,"$55,000.00 ",3,Call of Duty: Mobile
Malaysia,"$51,750.00 ",7,Call of Duty: Mobile
Indonesia,"$50,000.04 ",7,Call of Duty: Mobile
"Taiwan, Republic of China","$44,929.32 ",8,Call of Duty: Mobile
Canada,"$44,000.00 ",2,Call of Duty: Mobile
Spain,"$41,666.68 ",5,Call of Duty: Mobile
Ecuador,"$36,000.00 ",1,Call of Duty: Mobile
Myanmar,"$36,000.00 ",1,Call of Duty: Mobile
Puerto Rico,"$36,000.00 ",1,Call of Duty: Mobile
Belgium,"$25,000.00 ",1,Call of Duty: Mobile
Greece,"$25,000.00 ",1,Call of Duty: Mobile
Thailand,"$20,499.96 ",12,Call of Duty: Mobile
Venezuela,"$14,666.67 ",2,Call of Duty: Mobile
Argentina,"$8,000.00 ",1,Call of Duty: Mobile
Germany,"$8,000.00 ",1,Call of Duty: Mobile
Honduras,"$8,000.00 ",1,Call of Duty: Mobile
Netherlands,"$8,000.00 ",1,Call of Duty: Mobile
Viet Nam,"$8,000.00 ",1,Call of Duty: Mobile
Mongolia,"$6,666.67 ",1,Call of Duty: Mobile
Norway,"$716,742.12 ",3,chess24
United States,"$553,095.94 ",12,chess24
Russian Federation,"$491,907.20 ",11,chess24
Azerbaijan,"$209,381.50 ",3,chess24
Netherlands,"$197,178.61 ",2,chess24
Armenia,"$171,589.30 ",1,chess24
China,"$168,125.15 ",8,chess24
France,"$92,322.72 ",2,chess24
"Iran, Islamic Republic of","$77,021.30 ",2,chess24
India,"$69,500.00 ",9,chess24
Poland,"$57,300.00 ",1,chess24
Viet Nam,"$47,474.29 ",1,chess24
Spain,"$25,975.88 ",3,chess24
Canada,"$14,250.00 ",1,chess24
Germany,"$13,941.00 ",5,chess24
Argentina,"$11,839.30 ",1,chess24
Ukraine,"$10,920.16 ",2,chess24
Hungary,"$9,250.00 ",2,chess24
Czech Republic,"$7,250.00 ",1,chess24
Israel,"$7,000.00 ",1,chess24
Sweden,"$7,000.00 ",1,chess24
Venezuela,"$6,318.63 ",1,chess24
Uzbekistan,"$5,550.00 ",1,chess24
United Kingdom,"$5,000.00 ",1,chess24
United Arab Emirates,"$2,500.00 ",1,chess24
Kazakhstan,"$1,845.73 ",1,chess24
Brazil,"$1,818.63 ",2,chess24
Peru,"$1,591.31 ",3,chess24
Georgia,$800.00 ,1,chess24
Bulgaria,$682.00 ,1,chess24
Paraguay,$454.66 ,1,chess24
Sweden,"$675,656.09 ",96,Heroes of Newerth
Thailand,"$411,178.67 ",91,Heroes of Newerth
United States,"$264,834.94 ",81,Heroes of Newerth
China,"$248,498.95 ",31,Heroes of Newerth
Denmark,"$160,561.47 ",31,Heroes of Newerth
Russian Federation,"$156,925.23 ",262,Heroes of Newerth
Germany,"$142,474.37 ",21,Heroes of Newerth
Malaysia,"$36,912.27 ",32,Heroes of Newerth
Australia,"$34,070.95 ",4,Heroes of Newerth
Finland,"$26,517.01 ",23,Heroes of Newerth
Hungary,"$26,378.00 ",1,Heroes of Newerth
Kazakhstan,"$23,343.77 ",59,Heroes of Newerth
Canada,"$20,718.77 ",5,Heroes of Newerth
Israel,"$17,414.90 ",1,Heroes of Newerth
Bolivia,"$16,740.55 ",1,Heroes of Newerth
Ukraine,"$13,124.90 ",32,Heroes of Newerth
Indonesia,"$9,781.69 ",5,Heroes of Newerth
Norway,"$9,710.47 ",9,Heroes of Newerth
New Zealand,"$8,529.26 ",1,Heroes of Newerth
Poland,"$4,098.17 ",1,Heroes of Newerth
Åland Islands,"$2,737.38 ",15,Heroes of Newerth
Belarus,"$1,999.08 ",3,Heroes of Newerth
Belgium,"$1,950.00 ",1,Heroes of Newerth
Netherlands,"$1,714.80 ",2,Heroes of Newerth
Greece,"$1,543.29 ",2,Heroes of Newerth
Austria,"$1,422.17 ",1,Heroes of Newerth
"Korea, Republic of","$1,200.00 ",2,Heroes of Newerth
Estonia,$950.00 ,1,Heroes of Newerth
Spain,$542.00 ,1,Heroes of Newerth
Bulgaria,$410.00 ,2,Heroes of Newerth
Costa Rica,$150.00 ,1,Heroes of Newerth
Slovenia,$140.00 ,1,Heroes of Newerth
"Moldova, Republic of",$80.00 ,2,Heroes of Newerth
Romania,$60.00 ,1,Heroes of Newerth
United States,"$781,957.88 ",139,Quake Champions
Belarus,"$311,877.52 ",2,Quake Champions
Sweden,"$239,969.11 ",7,Quake Champions
Russian Federation,"$231,442.80 ",37,Quake Champions
Netherlands,"$159,405.00 ",4,Quake Champions
Ukraine,"$124,263.04 ",1,Quake Champions
United Kingdom,"$116,708.19 ",11,Quake Champions
Italy,"$104,507.19 ",5,Quake Champions
Hungary,"$100,544.56 ",1,Quake Champions
Poland,"$97,464.04 ",11,Quake Champions
Canada,"$96,513.52 ",16,Quake Champions
Germany,"$93,550.59 ",3,Quake Champions
Austria,"$76,275.00 ",1,Quake Champions
Australia,"$64,657.51 ",21,Quake Champions
France,"$43,714.78 ",5,Quake Champions
Estonia,"$23,950.00 ",1,Quake Champions
Brazil,"$23,939.83 ",7,Quake Champions
Argentina,"$16,190.78 ",16,Quake Champions
Czech Republic,"$13,803.81 ",2,Quake Champions
Portugal,"$10,375.00 ",3,Quake Champions
Serbia,"$6,895.00 ",3,Quake Champions
Denmark,"$4,599.19 ",6,Quake Champions
Latvia,"$3,235.00 ",1,Quake Champions
Chile,"$1,461.10 ",9,Quake Champions
South Africa,"$1,303.70 ",4,Quake Champions
Mexico,$467.50 ,1,Quake Champions
Spain,$415.00 ,5,Quake Champions
Kazakhstan,$395.00 ,1,Quake Champions
Finland,$240.00 ,5,Quake Champions
Switzerland,$112.45 ,1,Quake Champions
Lithuania,$20.00 ,2,Quake Champions
Germany,"$361,445.00 ",23,Clash of Clans
China,"$358,999.99 ",30,Clash of Clans
France,"$302,870.00 ",14,Clash of Clans
"Korea, Republic of","$241,085.00 ",27,Clash of Clans
Japan,"$229,450.01 ",21,Clash of Clans
Spain,"$146,562.50 ",9,Clash of Clans
Brazil,"$133,826.85 ",10,Clash of Clans
Finland,"$93,185.00 ",6,Clash of Clans
United States,"$50,131.00 ",15,Clash of Clans
Chile,"$36,500.00 ",1,Clash of Clans
Mexico,"$36,500.00 ",1,Clash of Clans
Argentina,"$27,687.50 ",3,Clash of Clans
India,"$24,200.00 ",11,Clash of Clans
Costa Rica,"$16,500.00 ",1,Clash of Clans
Malaysia,"$15,000.00 ",2,Clash of Clans
Czech Republic,"$12,500.00 ",1,Clash of Clans
Denmark,"$10,000.00 ",5,Clash of Clans
"Taiwan, Republic of China","$7,500.00 ",1,Clash of Clans
Norway,"$3,750.00 ",5,Clash of Clans
Australia,"$2,250.00 ",3,Clash of Clans
Canada,$750.00 ,1,Clash of Clans
Italy,$750.00 ,1,Clash of Clans
Indonesia,"$1,346,488.94 ",68,Mobile Legends: Bang Bang
Philippines,"$763,480.00 ",51,Mobile Legends: Bang Bang
Malaysia,"$95,181.11 ",13,Mobile Legends: Bang Bang
Singapore,"$82,850.00 ",17,Mobile Legends: Bang Bang
Myanmar,"$79,200.00 ",6,Mobile Legends: Bang Bang
United States,"$64,000.00 ",4,Mobile Legends: Bang Bang
Brazil,"$44,250.00 ",13,Mobile Legends: Bang Bang
Russian Federation,"$21,400.00 ",4,Mobile Legends: Bang Bang
Cambodia,"$19,250.00 ",10,Mobile Legends: Bang Bang
Brunei Darussalam,"$17,500.00 ",1,Mobile Legends: Bang Bang
Turkey,"$15,000.00 ",5,Mobile Legends: Bang Bang
Japan,"$13,600.00 ",9,Mobile Legends: Bang Bang
Ukraine,"$12,850.00 ",2,Mobile Legends: Bang Bang
Peru,"$10,000.00 ",5,Mobile Legends: Bang Bang
Saudi Arabia,"$10,000.00 ",5,Mobile Legends: Bang Bang
United States,"$2,072,853.35 ",247,Call of Duty: Advanced Warfare
United Kingdom,"$165,776.74 ",159,Call of Duty: Advanced Warfare
Canada,"$98,465.30 ",12,Call of Duty: Advanced Warfare
Australia,"$78,187.84 ",37,Call of Duty: Advanced Warfare
France,"$36,154.35 ",60,Call of Duty: Advanced Warfare
Saudi Arabia,"$35,632.25 ",1,Call of Duty: Advanced Warfare
Spain,"$21,495.64 ",56,Call of Duty: Advanced Warfare
Ireland,"$13,276.90 ",10,Call of Duty: Advanced Warfare
South Africa,"$9,516.34 ",50,Call of Duty: Advanced Warfare
Belgium,"$8,526.28 ",12,Call of Duty: Advanced Warfare
Finland,"$4,971.36 ",6,Call of Duty: Advanced Warfare
Brazil,"$4,500.00 ",12,Call of Duty: Advanced Warfare
Germany,"$3,698.99 ",68,Call of Duty: Advanced Warfare
Sweden,"$3,229.26 ",6,Call of Duty: Advanced Warfare
New Zealand,"$2,958.16 ",6,Call of Duty: Advanced Warfare
Bulgaria,"$1,782.94 ",2,Call of Duty: Advanced Warfare
Netherlands,"$1,609.49 ",6,Call of Duty: Advanced Warfare
Norway,$827.91 ,6,Call of Duty: Advanced Warfare
Singapore,$679.63 ,7,Call of Duty: Advanced Warfare
Switzerland,$678.51 ,2,Call of Duty: Advanced Warfare
Denmark,$657.19 ,4,Call of Duty: Advanced Warfare
Italy,$404.29 ,9,Call of Duty: Advanced Warfare
Austria,$163.98 ,3,Call of Duty: Advanced Warfare
"Korea, Republic of",$97.09 ,1,Call of Duty: Advanced Warfare
Liechtenstein,$28.47 ,1,Call of Duty: Advanced Warfare
United Kingdom,"$453,113.28 ",34,FIFA 20
Germany,"$363,740.14 ",42,FIFA 20
Brazil,"$304,318.52 ",24,FIFA 20
Sweden,"$169,741.39 ",26,FIFA 20
Spain,"$154,769.00 ",22,FIFA 20
Denmark,"$140,820.87 ",37,FIFA 20
France,"$132,908.34 ",19,FIFA 20
United States,"$119,698.57 ",15,FIFA 20
Italy,"$99,178.90 ",12,FIFA 20
Netherlands,"$85,934.91 ",26,FIFA 20
Saudi Arabia,"$84,080.63 ",8,FIFA 20
Mexico,"$48,104.53 ",5,FIFA 20
Poland,"$41,084.95 ",6,FIFA 20
Australia,"$39,954.06 ",13,FIFA 20
Argentina,"$39,211.00 ",2,FIFA 20
Japan,"$28,357.97 ",7,FIFA 20
Turkey,"$28,289.52 ",3,FIFA 20
Austria,"$16,176.15 ",6,FIFA 20
Belgium,"$16,080.00 ",2,FIFA 20
Portugal,"$16,048.00 ",4,FIFA 20
Colombia,"$10,974.62 ",5,FIFA 20
Egypt,"$10,014.00 ",6,FIFA 20
Indonesia,"$8,787.00 ",1,FIFA 20
Singapore,"$8,748.68 ",4,FIFA 20
Canada,"$8,245.00 ",6,FIFA 20
Hungary,"$8,111.52 ",1,FIFA 20
Malta,"$7,920.82 ",18,FIFA 20
South Africa,"$6,816.53 ",1,FIFA 20
Czech Republic,"$6,600.26 ",8,FIFA 20
Croatia,"$6,407.39 ",1,FIFA 20
Norway,"$5,534.00 ",3,FIFA 20
Israel,"$4,787.00 ",1,FIFA 20
Bulgaria,"$2,271.54 ",1,FIFA 20
Finland,"$1,000.00 ",1,FIFA 20
Ireland,$500.00 ,1,FIFA 20
Japan,"$614,083.34 ",8,Brawl Stars
Brazil,"$281,958.34 ",27,Brawl Stars
Singapore,"$175,833.35 ",12,Brawl Stars
Spain,"$145,266.64 ",16,Brawl Stars
China,"$137,499.96 ",25,Brawl Stars
United Kingdom,"$130,083.33 ",5,Brawl Stars
France,"$120,508.33 ",16,Brawl Stars
United States,"$116,833.31 ",17,Brawl Stars
Russian Federation,"$113,125.02 ",13,Brawl Stars
Italy,"$84,583.34 ",8,Brawl Stars
Canada,"$58,999.99 ",7,Brawl Stars
Austria,"$56,595.83 ",1,Brawl Stars
Ukraine,"$54,916.69 ",7,Brawl Stars
"Moldova, Republic of","$50,625.00 ",1,Brawl Stars
Puerto Rico,"$50,558.33 ",3,Brawl Stars
Denmark,"$48,887.51 ",1,Brawl Stars
"Korea, Republic of","$36,833.32 ",4,Brawl Stars
Norway,"$28,416.67 ",1,Brawl Stars
Germany,"$20,749.98 ",5,Brawl Stars
Hong Kong,"$12,500.01 ",3,Brawl Stars
Malaysia,"$9,166.67 ",6,Brawl Stars
Switzerland,"$4,891.66 ",2,Brawl Stars
India,"$2,500.01 ",7,Brawl Stars
Mexico,"$1,625.00 ",3,Brawl Stars
Argentina,$658.33 ,4,Brawl Stars
Chile,$620.83 ,2,Brawl Stars
Costa Rica,$600.00 ,2,Brawl Stars
Czech Republic,$333.34 ,2,Brawl Stars
Guatemala,$333.33 ,1,Brawl Stars
Netherlands,$333.33 ,1,Brawl Stars
Honduras,$300.00 ,3,Brawl Stars
Philippines,$250.00 ,1,Brawl Stars
Venezuela,$37.50 ,1,Brawl Stars
United States,"$1,065,418.61 ",347,Brawlhalla
Brazil,"$236,307.93 ",120,Brawlhalla
Germany,"$200,531.67 ",34,Brawlhalla
Sweden,"$157,533.35 ",42,Brawlhalla
Australia,"$118,963.45 ",92,Brawlhalla
Canada,"$118,253.49 ",29,Brawlhalla
France,"$83,410.00 ",18,Brawlhalla
United Kingdom,"$58,659.56 ",39,Brawlhalla
Singapore,"$56,355.00 ",31,Brawlhalla
Netherlands,"$54,348.25 ",18,Brawlhalla
Finland,"$49,135.05 ",3,Brawlhalla
Bulgaria,"$47,574.00 ",3,Brawlhalla
Denmark,"$41,733.81 ",6,Brawlhalla
Argentina,"$38,671.17 ",17,Brawlhalla
Italy,"$36,899.17 ",7,Brawlhalla
Indonesia,"$30,477.50 ",31,Brawlhalla
Norway,"$28,562.15 ",7,Brawlhalla
Russian Federation,"$15,267.17 ",9,Brawlhalla
Malaysia,"$12,505.00 ",10,Brawlhalla
Chile,"$8,940.00 ",4,Brawlhalla
Spain,"$8,530.00 ",12,Brawlhalla
Bangladesh,"$8,165.00 ",1,Brawlhalla
Hong Kong,"$3,737.50 ",5,Brawlhalla
Portugal,"$3,665.00 ",4,Brawlhalla
Hungary,"$3,511.60 ",5,Brawlhalla
Japan,"$3,290.00 ",8,Brawlhalla
Thailand,"$3,005.00 ",7,Brawlhalla
Jordan,"$2,330.00 ",1,Brawlhalla
Israel,"$1,870.67 ",5,Brawlhalla
India,"$1,865.00 ",1,Brawlhalla
Morocco,"$1,843.01 ",1,Brawlhalla
New Zealand,"$1,552.25 ",6,Brawlhalla
Poland,"$1,440.00 ",1,Brawlhalla
Belgium,"$1,175.00 ",3,Brawlhalla
Georgia,"$1,040.00 ",1,Brawlhalla
Malta,$865.19 ,1,Brawlhalla
Ireland,$750.00 ,3,Brawlhalla
Czech Republic,$735.00 ,3,Brawlhalla
--UNDEFINED--,$630.00 ,3,Brawlhalla
Peru,$550.00 ,1,Brawlhalla
Slovakia,$522.50 ,1,Brawlhalla
Turkey,$515.00 ,2,Brawlhalla
"Taiwan, Republic of China",$410.00 ,1,Brawlhalla
Egypt,$400.00 ,1,Brawlhalla
Mexico,$290.00 ,2,Brawlhalla
Saudi Arabia,$250.00 ,1,Brawlhalla
Philippines,$245.00 ,3,Brawlhalla
"Korea, Republic of",$220.00 ,2,Brawlhalla
Venezuela,$220.00 ,5,Brawlhalla
Serbia,$177.14 ,1,Brawlhalla
Albania,$150.00 ,1,Brawlhalla
Uruguay,$60.00 ,1,Brawlhalla
Viet Nam,$50.00 ,3,Brawlhalla
"Kosovo, Republic of",$50.00 ,1,Brawlhalla
Colombia,$40.00 ,2,Brawlhalla
United States Minor Outlying Islands,$30.00 ,1,Brawlhalla
Macao,$25.00 ,1,Brawlhalla
Maldives,$20.00 ,1,Brawlhalla
Romania,$10.00 ,1,Brawlhalla
United States,"$650,310.56 ",93,Paladins
Finland,"$199,842.45 ",7,Paladins
Brazil,"$192,643.79 ",55,Paladins
Netherlands,"$158,455.39 ",7,Paladins
Australia,"$154,049.92 ",24,Paladins
Poland,"$124,189.55 ",34,Paladins
Bulgaria,"$108,294.38 ",5,Paladins
Sweden,"$100,819.53 ",8,Paladins
Russian Federation,"$79,074.93 ",110,Paladins
United Kingdom,"$58,901.10 ",17,Paladins
Argentina,"$56,233.40 ",18,Paladins
Denmark,"$55,813.87 ",3,Paladins
Norway,"$53,930.02 ",4,Paladins
China,"$50,000.00 ",12,Paladins
Estonia,"$47,617.91 ",2,Paladins
France,"$45,780.26 ",41,Paladins
"Korea, Republic of","$43,216.67 ",3,Paladins
Canada,"$40,363.27 ",14,Paladins
Italy,"$24,415.47 ",9,Paladins
Belgium,"$21,400.00 ",4,Paladins
Germany,"$18,126.66 ",11,Paladins
Portugal,"$17,652.12 ",3,Paladins
Peru,"$16,866.60 ",12,Paladins
Croatia,"$12,916.67 ",3,Paladins
Israel,"$11,430.79 ",2,Paladins
Uruguay,"$11,133.33 ",2,Paladins
Ukraine,"$7,730.82 ",7,Paladins
Indonesia,"$6,800.01 ",18,Paladins
Czech Republic,"$5,700.00 ",5,Paladins
Japan,"$5,000.00 ",1,Paladins
Serbia,"$2,600.00 ",2,Paladins
Spain,"$2,288.33 ",10,Paladins
Chile,"$2,000.00 ",3,Paladins
Ireland,"$1,970.35 ",2,Paladins
Philippines,"$1,750.00 ",3,Paladins
Switzerland,"$1,718.40 ",1,Paladins
Romania,"$1,215.98 ",3,Paladins
Singapore,"$1,100.00 ",1,Paladins
Colombia,$800.00 ,5,Paladins
Malaysia,$733.34 ,4,Paladins
Latvia,$650.00 ,1,Paladins
Austria,$600.00 ,1,Paladins
Egypt,$450.00 ,2,Paladins
Venezuela,$400.00 ,2,Paladins
Kazakhstan,$293.33 ,2,Paladins
Belarus,$281.67 ,2,Paladins
--UNDEFINED--,$250.00 ,1,Paladins
Azerbaijan,$200.00 ,1,Paladins
Guatemala,$200.00 ,1,Paladins
Bangladesh,$100.00 ,1,Paladins
Hungary,$100.00 ,1,Paladins
India,$100.00 ,1,Paladins
Lithuania,$100.00 ,1,Paladins
"Moldova, Republic of",$100.00 ,1,Paladins
Turkey,$100.00 ,1,Paladins
United States,"$912,311.51 ",424,iRacing.com
United Kingdom,"$294,255.46 ",117,iRacing.com
Australia,"$262,956.52 ",31,iRacing.com
Germany,"$253,326.79 ",173,iRacing.com
Canada,"$198,922.66 ",30,iRacing.com
Finland,"$147,091.84 ",35,iRacing.com
Spain,"$67,918.44 ",91,iRacing.com
Cuba,"$65,529.00 ",1,iRacing.com
France,"$52,116.63 ",60,iRacing.com
Netherlands,"$41,438.71 ",71,iRacing.com
Norway,"$31,203.32 ",7,iRacing.com
Portugal,"$27,255.66 ",14,iRacing.com
Denmark,"$26,889.72 ",42,iRacing.com
Brazil,"$25,828.33 ",11,iRacing.com
Italy,"$20,119.01 ",41,iRacing.com
Turkey,"$9,843.25 ",4,iRacing.com
Austria,"$7,077.59 ",19,iRacing.com
Russian Federation,"$4,491.13 ",9,iRacing.com
Slovakia,"$3,886.00 ",3,iRacing.com
Estonia,"$3,000.00 ",1,iRacing.com
Argentina,"$2,874.51 ",5,iRacing.com
Sweden,"$2,494.63 ",21,iRacing.com
Poland,"$2,254.91 ",18,iRacing.com
Hungary,"$2,058.98 ",12,iRacing.com
Ireland,"$1,900.00 ",4,iRacing.com
Singapore,"$1,518.33 ",1,iRacing.com
Belgium,"$1,407.48 ",17,iRacing.com
Lithuania,"$1,358.88 ",3,iRacing.com
India,"$1,210.83 ",1,iRacing.com
South Africa,"$1,147.50 ",2,iRacing.com
Japan,"$1,042.65 ",6,iRacing.com
Bulgaria,"$1,000.00 ",1,iRacing.com
Greece,$915.00 ,3,iRacing.com
Switzerland,$880.37 ,14,iRacing.com
New Zealand,$537.00 ,3,iRacing.com
Isle of Man,$485.00 ,1,iRacing.com
Czech Republic,$356.83 ,2,iRacing.com
North Macedonia,$143.78 ,1,iRacing.com
Mexico,$115.00 ,1,iRacing.com
Luxembourg,$109.48 ,3,iRacing.com
Slovenia,$63.51 ,1,iRacing.com
Chile,$60.00 ,2,iRacing.com
Croatia,$44.86 ,3,iRacing.com
Romania,$28.87 ,3,iRacing.com
Dominican Republic,$28.57 ,1,iRacing.com
Kazakhstan,$25.00 ,1,iRacing.com
Serbia,$11.25 ,1,iRacing.com
Puerto Rico,$5.82 ,1,iRacing.com
Norway,"$277,535.61 ",35,Age of Empires II
China,"$265,123.81 ",154,Age of Empires II
Canada,"$182,467.14 ",43,Age of Empires II
"Korea, Republic of","$151,951.41 ",16,Age of Empires II
Brazil,"$150,259.43 ",79,Age of Empires II
Austria,"$123,353.15 ",20,Age of Empires II
Serbia,"$115,224.98 ",5,Age of Empires II
Germany,"$106,952.22 ",158,Age of Empires II
Spain,"$98,733.47 ",62,Age of Empires II
Viet Nam,"$96,893.35 ",56,Age of Empires II
Finland,"$93,685.11 ",27,Age of Empires II
Argentina,"$81,798.70 ",77,Age of Empires II
"Taiwan, Republic of China","$77,704.16 ",61,Age of Empires II
United States,"$62,436.33 ",138,Age of Empires II
Japan,"$50,259.69 ",55,Age of Empires II
Russian Federation,"$48,298.10 ",90,Age of Empires II
France,"$42,634.94 ",131,Age of Empires II
Hong Kong,"$34,611.83 ",29,Age of Empires II
United Kingdom,"$31,853.92 ",62,Age of Empires II
Poland,"$21,458.00 ",53,Age of Empires II
Italy,"$15,034.10 ",38,Age of Empires II
Netherlands,"$14,668.90 ",41,Age of Empires II
Sweden,"$13,617.26 ",33,Age of Empires II
Turkey,"$13,160.11 ",41,Age of Empires II
Greece,"$11,400.83 ",5,Age of Empires II
Kazakhstan,"$11,280.00 ",16,Age of Empires II
Czech Republic,"$11,053.90 ",30,Age of Empires II
India,"$9,053.35 ",65,Age of Empires II
Australia,"$9,012.14 ",44,Age of Empires II
Belgium,"$8,594.40 ",13,Age of Empires II
Denmark,"$6,690.72 ",12,Age of Empires II
Peru,"$6,539.31 ",6,Age of Empires II
Chile,"$6,221.58 ",28,Age of Empires II
Bulgaria,"$5,865.12 ",3,Age of Empires II
Slovenia,"$5,796.03 ",8,Age of Empires II
Mexico,"$5,374.68 ",62,Age of Empires II
Israel,"$5,149.89 ",7,Age of Empires II
Ireland,"$4,977.92 ",9,Age of Empires II
Ukraine,"$4,258.42 ",12,Age of Empires II
Belarus,"$3,310.88 ",4,Age of Empires II
Switzerland,"$2,349.85 ",22,Age of Empires II
Lithuania,"$2,221.43 ",3,Age of Empires II
Portugal,"$1,778.17 ",7,Age of Empires II
New Zealand,"$1,419.46 ",5,Age of Empires II
Latvia,"$1,352.84 ",3,Age of Empires II
Pakistan,$664.88 ,9,Age of Empires II
Hungary,$646.70 ,7,Age of Empires II
Bosnia and Herzegovina,$627.71 ,10,Age of Empires II
Colombia,$574.66 ,5,Age of Empires II
Romania,$549.61 ,14,Age of Empires II
Algeria,$525.00 ,1,Age of Empires II
Singapore,$500.00 ,1,Age of Empires II
Malta,$453.33 ,1,Age of Empires II
Estonia,$451.00 ,2,Age of Empires II
Slovakia,$336.00 ,3,Age of Empires II
"Iran, Islamic Republic of",$312.50 ,1,Age of Empires II
--UNDEFINED--,$299.87 ,8,Age of Empires II
Croatia,$280.00 ,7,Age of Empires II
Uruguay,$275.25 ,7,Age of Empires II
Åland Islands,$250.00 ,1,Age of Empires II
South Africa,$226.04 ,9,Age of Empires II
Sri Lanka,$210.00 ,1,Age of Empires II
Malaysia,$177.60 ,1,Age of Empires II
Bahrain,$125.00 ,2,Age of Empires II
Albania,$100.00 ,1,Age of Empires II
United Arab Emirates,$62.50 ,1,Age of Empires II
Bolivia,$50.00 ,1,Age of Empires II
Luxembourg,$41.59 ,1,Age of Empires II
Paraguay,$27.00 ,2,Age of Empires II
Morocco,$25.59 ,1,Age of Empires II
Lebanon,$23.50 ,1,Age of Empires II
Macao,$20.00 ,1,Age of Empires II
Montenegro,$17.50 ,1,Age of Empires II
Venezuela,$0.00 ,2,Age of Empires II
